id,name,sku,category,quantity,unit_cost,supplier_name,location,reorder_threshold,supplier_lead_time_days
B08VNYPL7H,"Hot Air Rework Station, Prostormer 120V Digital Display Heat Gun with 3 Sets Stored Temperature and Sleep Mode, Airflow Efficiency, Accurate Temp 100~500 ℃ (212~932°F) for Electronics Repairing",PSST003D,misc,1,49.33,ArmPro,,0,7
B0BZCX99NV,"Creality PETG Filament 1.75, 3D Printer Filament, Excellent Toughness High Precision, Odorless Non-Toxic Moistureproof, 1kg(2.2lbs) Glossy 3D Printing Filament for 3D Printer (Black)",301030035,misc,3,12.99,Creality Official Store,,0,7
B0DMVG2TFL,"Creality Hyper PLA Filament 1.75mm, RFID 3D Printer Filament for High Speed 30-600mm/s, PLA Filament Support CFS, Fits for K2 Plus Combo and Most 3D Printers 1kg(2.2lbs)/Spool",AMUS-CU-3D-PM-HPLA-RFID-BK+WH+RD+BL,misc,1,72.99,Creality CL Store,,0,7
B0C4TNQZYY,"Creality 2kg Black & White PLA 1.75mm Filament Bundle for 3D Printing with No-Tangling Strong Bonding and Overhang Performance, Accuracy +/- 0.02mm",Hyper RFID PLA_AU1,misc,2,23.99,Creality Official Store,,0,7
B098J269QB,UMLIFE 10PCS High Efficiency Output 3.3V 5V 9V 12V 5A Mini560 Step Down DC-DC Converter Voltage Regulator Buck Stabilized Power Supply Module (Output 3.3V),B098J269QB,power,1,14.69,Umlife US,,0,7
B0F4KG3WWK,"Creality CFS Multi Color Auto Filament System Anti-Moisture Filament Storage Auto-Switch & Run-Out Alerts 4-Channel Parallel Printing 16 Colors 3D Printing for K2 Plus, Hi 3D Printer",Hyper PLA RFID,misc,1,299.0,Creality US Official Store,,0,7
B0DFGB288Y,"Creality 3D Printer Filament 1.75mm 4KG, PLA Filament Bulk +/- 0.02mm, 4 Pack 1kg Spool(2.2lbs) 3D Printing Filament Fits for Most FDM 3D Printers, 4 White",Value 4 Pack-WWWW-_3301010475_US1,misc,4,58.49,Creality Official Store,,0,7
B0CHS79BGL,"ELEGOO PLA Plus Filament 1.75mm Black & White 4KG, PLA+ Tougher and Stronger 3D Printer Filament Pro Dimensional Accuracy +/- 0.02mm, 4 Pack 1kg Spool(2.2lbs) Fits for Most FDM 3D Printers",US-EL-3D-PP25,misc,3,49.69,ELEGOO Official US,,0,7
B08PF938JJ,"OVERTURE ASA Filament 1.75mm, 1kg Spool (2.2lbs) 3D Printer Filament, Premium Anti-UV, ASA Filament Perfect for Printing Outdoor Functional Parts, Dimensional Accuracy +/- 0.02 mm (White)",OVASA,misc,3,27.12,OVERTURE 3D,,0,7
B083SF86RV,"LiteHistory LED Bulb Dimmable 6W Equal Warm White 2700K T6 T25 E12 Candelabra Bulb 60 watt for Chandeliers,Ceiling Fan,Pendant,Wall sconces AC120V 600LM e12 Light Bulb 6Pack",T8-4C27K-60Watt-6Pack,misc,2,20.0,Litehistory,,0,7
B08JPL85H8,kwmobile Keystone Module Jacks - 24 Piece CAT-8 Shielded Keystone Jack RJ45 Cat 8 Ethernet Module 40 Gbit with Shielded Metal Housing,52517.24,chassis-housing,1,107.9,KW-Commerce-US,,0,7
B0CH3TDJ4B,Cable Matters All-In-One Modular Ethernet Crimping Tool Cat 8 (Cat5 Cat6 Cat7 Cat8 Crimping Tool) for Shielded Pass-Through Connectors,180124,misc,1,21.95,Cable Matters,,0,7
B0CVVVNB9L,MIULEE Boho Farmhouse Sage Green Throw Pillow Covers 18x18 Inch Set of 4 Mordern Nordic Cushion Covers Soft Corduroy Christmas Home Decor for Couch Bed Sofa Living Room Forest Green,4p_CORDUROY_1818_2,misc,1,19.79,Miulee Home,,0,7
B0F93BBDFC,"Lichaser 6 Rolls 9.84ft WiFi Flexible COB LED Lights for Wood Slat Wall Panels in Parallel, Acoustic Panel LED Strip Compatible with Alexa, 3000K Dimmable Strip for Acoustic Panels, Shelves Lighting",Spider T,misc,2,50.99,SSD US,,0,7
B09GLSWMQM,"ELEGRP USB Charger Wall Outlet, 15 Amp Duplex Tamper Resistant Receptacle Plug with Type A & Type C USB Ports NEMA 5-15R, Wall Plate Included, UL Listed (10 Pack, Matte White)",R1615D42-WH,misc,1,93.99,ELE GROUP,,0,7
B07ZQPFGHX,"Elite Cat8 Shielded Riser (CMR), 40Gb, 2000MHz, S/FTP 22AWG, Solid Pure Copper, Higher Performance PoE, UL Listed, ETL Verified (Blue 1000ft.)",TFR2204ZBU,power,1,608.0,"Infinity Cable Products, Inc.",,0,7
B0C2WS46WM,"Cable Matters 20-Pack 23-24AWG Shielded Cat8 RJ45 Pass Through Connector with Load Bar & Strain Relief Boots, 50µ Gold Plated, Cat 8 Pass-Through RJ45 Plugs, NOT Compatible with 22AWG Cable",180121x20,power,1,11.95,Cable Matters,,0,7
B0CMT6RV52,"senroyal 52 Inch Tropical Ceiling Fan with Light, Pull Chain, Palm Leaf Indoor Outdoor Ceiling Fan with Light for Patio, Living Room, Reversible Fan, Black Bronze",68004,misc,1,168.42,Senroyal,,0,7
B0875VL1CJ,"UGREEN Cat 8 Ethernet Cable 6FT, High Speed Braided 40Gbps 2000Mhz Network Cord Cat8 RJ45 Shielded Indoor Heavy Duty LAN Cables Compatible for Gaming PC PS5 Xbox Modem Router 6FT",80431,power,1,6.99,UGREEN GROUP LIMITED,,0,7
B0DQ9ZDXDG,"Itvexeme RJ45 Connectors Tool Free Cat8, Cat8 Field Termination Plug Shielded Modular Plugs for 2000MHz 2GHz 40G, 22AWG-24AWG (CAT8-12Pack)",CAT8,power,1,47.49,Itvexeme,,0,7
B0DBQWZH53,"Govee GU10 Smart Bulb, Matter RGBWW Light Bulb Work with Alexa, Google Assistant, WiFi & Bluetooth Color Changing MR16 LED Bulbs, 64 Dynamic Scenes, Syncs with Music, 4 Pack, 400LM, GU10 Base",‎B600D1C3,misc,2,39.99,Govee US,,0,7
B000J15GYA,"HUBBELL CS8269 Flush Mount, 2P, Twist Lock, 250V, 3W, Receptacle, 50AMP",CS8269,misc,4,118.0,U-PRO.,,0,7
B09JK3B1NC,"Sleek Socket Original & Patented Ultra-Thin Outlet Concealer with Cord Concealer Kit, Flat Extension Cord with Multi Outlets Power Strip, Ideal for Home Improvement, Hide Bulky and Messy Cords",8-2XDOWN-OVSZ-W,power,1,27.48,"Socket Solutions, LLC",,0,7
B006LW0W5Y,"Amazon Basics Speaker Cable, Easy Assembly, 16-Gauge, Bronze, 100 ft",SW100ft,misc,1,9.25,Amazon,,0,7
B0DDKX7CX6,"Cordless Electric Tiller Garden Cultivator TaskStar 40V Power Tiller Total 5000mAhx2 Battery Powered Rototiller 14"" Width 9""Depth Tiller for Gardening,Dynamical Brushless Motor Enable Smooth Workflow",TaskStar-TU5000,motors-servos,1,249.98,TaskStar Store,,0,7
B0FCY5QZ7C,"À LA MAISON CEILINGS Instant Grab - Ceiling Tile, Wall Panel & Crown Molding Adhesive - High-Strength, Water-Resistant Glue for Indoor/Outdoor Use - Easy-Apply, Quick-Bond Formula (8-Pack)",AX310-8,misc,1,59.0,"Decorative Ceiling Tiles, Inc.",,0,7
B00ZVUQMS8,Minecraft - Volume Alpha,B00ZVUQMS8,misc,1,24.98,-importcds,,0,7
B0DWS6W5TS,DGSL Tile Leveling System Clips - DIY 2400 Tiles Leveler Spacers - 1/8 Inch Tile Leveling System for Professional Ceramic Tile and Stone Installation,TSL03,misc,1,37.99,DGSL-us-store,,0,7
B0BQW8B3MY,"BAUMFEUER Tile Leveling System with Tile Plier and Rubber Mallet, 1000 Piece Tile Spacers Clips and 200 Piece Reusable Wedges, Tile Leveler Tool Set for Tile and Stone Installation (1/8 Inch)",TLS-4.27,misc,1,35.99,TFJ-US,,0,7
B0832XGSHF,"24"" Heavy-Duty Magnetic Tool Holder (Upgraded Version) - Extremely Powerful Magnetic Pull Force to Hold Heavy Tools - Professional Space-Saving Magnetic Bar - Tool Organizer Rack/Strip",mth,power,1,37.95,HM-Group,,0,7
B0BHQWHG5H,"ELEGRP Smart Light Switch, 2.4GHz Wi-Fi Light Switch Compatible with Alexa & Google Assistant, Neutral Wire Required, APP Control and Timer Schedule, UL Certified,Single Pole, Black, 10 Pack",SPN10,misc,1,119.99,ELE GROUP,,0,7
B0BHQW3QJ4,"ELEGRP Smart Light Switch, 2.4GHz Wi-Fi Light Switch Compatible with Alexa & Google Assistant, Neutral Wire Required, APP Control and Timer Schedule, UL Certified,Single Pole, White, 10 Pack",SPN10,misc,1,119.69,ELE GROUP,,0,7
B0BPRZ82GD,"Flexi Rods Garage Organizer Wall Hanger - Garden Tool Rack for Grass Trimmer, Hedge Trimmer, Garage Tools, 1 Pack",ST-1,misc,2,17.24,RUICAIAMZ,,0,7
B0CTZF7MNP,"ELEGRP USB Outlets, 15 Amp Wall Outlet with 3 USB Ports, Dual USB C Ports Outlets, TR Tamper-Resistant USB Outlets Receptacles, Wall Plate Included, UL/CUL Listed, 10 Pack, Black",AUR01-1542CCA-BL10,misc,1,119.89,ELE GROUP,,0,7
B0CTZQYNKY,"ELEGRP USB Outlets, 15 Amp Wall Outlet with 3 USB Ports, Dual USB C Ports Outlets, TR Tamper-Resistant USB Outlets Receptacles, Wall Plate Included, UL/CUL Listed, 10 Pack, White",AUR01-1542CCA-WH10,misc,1,119.66,ELE GROUP,,0,7
B0BHS2JFZC,"Linkind Matter Smart Light Bulb, WiFi Smart Bulbs, Work with Apple Home, Siri, Alexa, Google, SmartThings, RGBTW Color Changing Bulbs Mood Lighting, Music Sync, A19 E26 60W, 2.4Ghz WiFi 6 Pack",LS0101811266,misc,10,33.99,LINKIND-US,,0,7
B0DLKLY669,eMagTech 10pcs Mini Speaker 8 Ohm 1W 20x30mm Magnetic Speakers Replacement Compatible with Raspberry Compatible with MP3 Radio Speaker,676-EL,dev-boards,1,8.39,eMagTech,,0,7
B083XMGSVP,for Raspberry Pi Zero Camera Module 160 FOV 5MP Fisheye Lens Camera Wide Angle 160 Degree OV5647 1080P Sensor HD Video Webcam with Zero Cable for Raspberry Pi Model 4/3 B/B+ A+ RPi 2/1/zero/zero W,WQY,dev-boards,1,16.99,Dorhea,,0,7
B0DLJTP7DH,"Cermant 10pcs Type C Breakout Board Serial Basic Breakout Female Connector, 16P PCB Converter Board with Bent Pin",Celent_CL533,misc,1,9.49,zhihengxinxi,,0,7
B0C6XKXPVX,D-FLIFE 100pcs TTP223 Touch Switch Module Capacitive Sensor Switch DIY for Arduino Raspberry Pi,B0C6XKXPVX,dev-boards,1,10.69,D-FLIFE,,0,7
B0B3YZRJRK,"LANBITOU Ladder, A Frame 5 Step Ladder Extension, 17 Ft Anti-Slip Multi Position Ladder, Storage Folding Ladder, 330 lbs Security Load Telescoping Aluminum Ladders for Stairs Home Indoor Outdoor Roof",TSZ9001,misc,1,195.49,LANBITOU LADDER,,0,7
B0DNZ3ZD36,"OV2640 Camera Esp32 Cam Camera Module,Aideepen OV2640 Camera 160° Wide-Angle Lens 2 Megapixel Sensor I2C Support JPEG RGB YUV for ESP32 MCU Camera 4 PCS",Camera Module,dev-boards,1,23.99,Aideepen,,0,7
B0DRJ5NTV3,FORIOT GC2145 Camera 160° I2C Wide-Angle Lens 2 Megapixel Sensor Cam Module DVP Interface for ESP32 MCU Camera,JCAH0003-005,dev-boards,1,8.54,FORIOT-US,,0,7
B01LY05LOE,"Arducam for Raspberry Pi Zero Camera Module, 5MP OV5647 1080P Webcam on Raspbian (Cables in 2 Kinds)",UCT_B0033+B0087,dev-boards,1,9.29,UCTRONICS,,0,7
B0FH7J8P6K,Milwaukee Electric - Fleece-Lined Beanie - Black,M751B,misc,1,34.64,eFaucets,,0,7
B0DHXS26XL,"Cat8 Flat Ethernet Cable 50 FT Indoor & Outdoor, Invisable Ultra-Thin Ethernet Cable High Speed 40Gbps 2000Mhz, Flexible Shielded Internet Cable, Cat 8 SFTP Network Cable for Home/Office/Gaming, White",cat8wh-50,power,1,9.19,10Gsupxsel,,0,7
B0CKJ5YPZ5,"Rapink Patch Cables Cat8 1ft 24 Pack Slim, Cat8 Ethernet Patch Cable 40G Support, Snagless Cat 8 Patch Cable for Patch Panel to Switch, Flexiable Cat 8 Ethernet Cable Datacenter with Gold Plated",24PC830-1,power,1,23.99,FOELINK,,0,7
B0DHXTFS5P,"Cat8 Flat Ethernet Cable 100 FT Indoor & Outdoor, Invisable Ultra-Thin Ethernet Cable High Speed 40Gbps 2000Mhz, Flexible Shielded Internet Cable, Cat 8 SFTP Network Cable for Home/Office, White",cat8wh-100,power,2,18.19,10Gsupxsel,,0,7
B0DHXQ92RL,"Cat8 Flat Ethernet Cable 75 FT Indoor & Outdoor, Invisable Ultra-Thin Ethernet Cable High Speed 40Gbps 2000Mhz, Flexible Shielded Internet Cable, Cat 8 SFTP Network Cable for Home/Office/Gaming, White",cat8wh-75,power,2,14.99,10Gsupxsel,,0,7
B0CQXMPXKC,"8 Port 10G Ethernet Switch Unmanaged,with 8X 10Gb Base-T Ports, NICGIGA 10Gbps Network Switch Easy for 10G NAS,PC,WiFi7 Router,10G Adapter/NIC. Desktop or 19-inch Rack Mount, Plug and Play.",S100-0800T-EU,misc,1,247.98,NICGIGA-US,,0,7
B0BN8SSDPL,"OVERTURE ASA Filament 1.75mm, 1kg Spool (2.2lbs) 3D Printer Filament, Premium Anti-UV, ASA Filament Perfect for Printing Outdoor Functional Parts, Dimensional Accuracy +/- 0.02 mm (Olive Green)",OVASA,misc,6,28.42,OVERTURE 3D,,0,7
B0949M4PMD,"M4-0.7 x 25mm Flat Head Socket Cap Screws Bolts, Stainless Steel 18-8 (304), Bright Finish, Allen Socket Drive,Machine Screws Inner Hex Screw Fasteners Bolts (50pcs)",763722102284,misc,1,7.69,YGTGZ,,0,7
B0B53DPBTZ,DWEII 12PCS Obstacle Avoidance Sensor TCRT5000 5V 1 Way IR Infrared Reflective Sensor Line Detect Tracking for Arduino Robot Smart Car,TCRT5000,dev-boards,1,11.99,HANXI01,,0,7
B0949JNZWQ,"M4-0.7 x 20mm Flat Head Socket Cap Screws Bolts, Stainless Steel 18-8 (304), Bright Finish, Allen Socket Drive,Machine Screws Inner Hex Screw Fasteners Bolts (50pcs)",763722102277,misc,1,7.21,YGTGZ,,0,7
B0F9NZDP3P,"Creality ABS Filament 1.75mm White 3D Printer Filaments, 1kg(2.2lbs) Neatly-Wound Spool, Strong, Durable, Good Heat Resistant, Less Odor, Dimensional Accuracy±0.03mm, Fit Most FDM 3D Printers, White",CR-ABS-White,misc,1,18.99,Creality YOOPAI Store,,0,7
B0F9NXB9DB,"Creality ABS Filament 1.75mm Black 3D Printer Filaments, 1kg(2.2lbs) Neatly-Wound Spool, Strong, Durable, Good Heat Resistant, Less Odor, Dimensional Accuracy±0.03mm, Fit Most FDM 3D Printers, Black",CR-ABS-Black,misc,1,19.99,Creality YOOPAI Store,,0,7
B0CT8GD432,"Hrensaw Medium Outdoor Electrical Box(10.6x5.5x4.5inch),Weatherproof Connection Box w/6 Cable Entry,IP54 Waterproof Extension Cord Cover Protect Power Strip,Timer,Plug,Holiday Lights,Black",HM001,power,1,18.99,Hrensaw,,0,7
B0DXT4WTR4,"Small Waterproof Electrical Junction Box，IP67 Waterproof Clear ABS Plastic Enclosure Boxes for Outdoor Garden with Hinged Cover, Mounting Plate, Wall Brackets, Cable Glands (8.7""x6.7""x4.3"" Clear)",Electrical Boxes-FT,misc,2,18.61,IGEYAPA-US,,0,7
B07H5C8BB6,"QILIPSU Junction Box with Mounting Plate 110x80x70mm, Clear Cover Plastic DIY Electrical Project Case IP67 Waterproof Dustproof Enclosure Grey (4.3""x3.1""x2.8"")",110807PT,chassis-housing,1,9.49,QILIPSU,,0,7
B0DXT464VB,"Large Waterproof Electrical Junction Box, IP67 Waterproof Clear ABS Plastic Enclosure Boxes for Outdoor Network Enclosure with Hinged Cover, Mounting Plate, Wall Brackets(13.8""x9.8""x5.9"" Clear)","Electrical Boxes-13.8""x9.8""x5.9"" Clear",misc,2,46.54,IGEYAPA-US,,0,7
B0DXTFT6WM,"Waterproof Electrical Junction Box，IP67 Waterproof Clear ABS Plastic Enclosure Boxes for Outdoor Network Enclosure with Hinged Cover, Mounting Plate, Wall Brackets, Cable Glands (11.4""x7.5""x5.5"")","Electrical Boxes-11.4""x7.5""x5.5 clear",misc,2,32.58,IGEYAPA-US,,0,7
B0BZHGCBTH,"YETLEBOX Outdoor Waterproof Electrical Box Junction Box Weatherproof IP67 ABS Plastic Enclosure Switch Router Project Box Electronics DIY Enclosure With Mounting Plate Wall Bracket Grey 8.6""x6.6""x4.3""",P091,misc,2,14.99,Jineby Y,,0,7
B0DGMVFY85,"SABRENT USB to 3.5mm Jack Audio Adapter, USB to Headphone Jack Adapter Sound Card, Upgrade to 24-Bit 96Khz for a deep Sound Quality (AU-UCMA)",AU-UCMA,dev-boards,1,8.54,Store4PC,,0,7
B099RQ7BSR,LILYGO T-SIM7000G ESP32-WROVER-B Solar Charge SIM GPS Antenna CH9102F 16MB 2G/NB TTGO Development Board,T-SIM7000G,dev-boards,2,49.87,Lily GO,,0,7
B0CZ79Q7XM,"Official Creality K1 Max Glossy PEO and Matte PEI Double Side Build Plate Kit, 315 x 310mm Flexible Spring Steel Platform, Removable 3D Printer PEI Sheet Build Surface for K1 Max/Ender 3 V3 Plus",K1MAXPEIPEO,misc,1,26.99,comgrow,,0,7
B0CLLNMRX7,LILYGO T-A7670G R2 4G LTE CAT1 SIM Module ESP32 TTGO Development Board Support GSM/GPRS/Edge TF Card (A7670G with GPS),B0CLLNMRX7,dev-boards,4,35.15,Lily GO,,0,7
B07HSRNWBG,Business Prime Annual Membership Fee - Essentials,B07HSRNWBG,misc,2,89.5,Amazon US,,0,7
B07XVCP7F5,"RK ROYAL KLUDGE S108 Typewriter Keyboard, Retro Mechanical Gaming Keyboard Wired 108 Keys with RGB Backlit Sidelight, Detachable Wrist Rest, Round Keycaps Blue Switches - Black",S108,misc,1,59.99,J-Devol,,0,7
B0B789CGGQ,"Xbox Elite Series 2 Core Wireless Gaming Controller - White Series X|S, One, Windows PC, Android, and iOS",4IK-00001,misc,1,129.99,Amazon.com,,0,7
B09DCQ972K,"OVERTURE ASA Filament 1.75mm, 1kg Spool (2.2lbs) 3D Printer Filament, Premium Anti-UV, ASA Filament Perfect for Printing Outdoor Functional Parts, Dimensional Accuracy +/- 0.02 mm (Black)",OVASA,misc,2,30.68,OVERTURE 3D,,0,7
B07R4W1QY7,"Lenovo GY40T26478 Legion K500 RGB Mechanical Gaming Keyboard, 3 ZONE Full-size Keyboard, 7 user Programmable Hot Keys; 16.8 Million Colors, 50 Million-Click Red Mechanical Keys, Detachable Palm Rest",GY40T26478,dev-boards,1,67.99,Amazon.com,,0,7
B0B614YWXD,Mille Lucciole 4 Pack Outdoor Wall Lights Exterior/Interior LED Wall Sconces IP65 Waterproof Square Aluminum Wall Lamps Outdoor Lighting Fixture Up and Down Lights Modern Black 12W 3000K Warm Lights,ML-HWBD,misc,2,98.99,FPDS,,0,7
B0CGG19X3L,ESYTEOOT Bamboo Screwdriver Organizer Rack Desktop Hand Tool Stand and Repair Tool Storage Holder,HFJA101,misc,1,24.99,AmayaArtz,,0,7
B0CY54RM4K,"VEVOR Wall Mounted Storage Rack System, 30-Bin Parts Rack Organizer with Wall Panels/Tool Holders/Hooks, Garage Plastic Shop Tool Organizer for Nuts, Bolts, Screws, Nails, Beads, Buttons",30-Bin Parts Rack Organizer,misc,1,48.99,Amazon,,0,7
B0D3J71RM7,"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",MX2D3AM/A,misc,1,99.0,Amazon.com,,0,7
B0DJ7GNDL8,"ApoloSign Digital Calendar: Electronic Calendar, Smart Touchscreen Interactive Display for Chore Chart, Family Schedules Planner, Supports All Apps via Google Play (Gray, 21.5-inch)",FA2189,misc,1,459.99,ElcSign,,0,7
B0CDW3B9J2,USB C to C Cable 3ft 2Pack Coiled USB C Charger Cable for Car Type C Fast Charging Cable for iPhone 16/15/Plus/Pro/Pro Max/Samsung Galaxy S23,USB C to USB C Cable 3Pack 3FT,dev-boards,3,17.09,KIYODA,,0,7
B0D9JWT4P1,"Vision Master E290 Development Board with 2.9"" E-Ink Display Screen, SX1262 Chip BLE WiFi ESP32-S3R8 LoRa Module Compatible with Arduino PlatformIO Micpython Meshtastic Raspberry PI IoT（902-928MHz",B0D9JWT4P1,dev-boards,3,33.32,MakerHawk-US,,0,7
B0CXJ71NB6,LILYGO T-BeamSUPREME Meshtastic 915Mhz ESP32-S3 LoRa L76K GPS WiFi Bluetooth Module TTGO Development Board with 1.3inch SH1106 OLED,L76K Version,dev-boards,3,61.0,Lily GO,,0,7
B0CLXJ62KM,"JOFIOS Solar Pathway Lights 8 Pack with Warm White and Cool White Mode, Modern Solar Path Lights Outdoor Waterproof, Perfect Solar Lights for Backyard, Lawn, Driveway, Walkway, Garden Decorative.",1,misc,2,125.99,JOFIOS,,0,7
B0CY2BPPD4,"Outdoor Electrical Box with Thermostat and Fan, Cold-Rolled Steel Plate, Aluminum Alloy Back Beam, One-Piece Ventilation Design, IP65 Waterproof, Wall/Pole Mounted. (15.7"" x 11.8"" x 7.9"")",Fan001,misc,3,139.99,zhuhaiyihong,,0,7
B09JZKK3KS,"GHome Smart Mini Plug Compatible with Alexa and Google Home, WiFi Outlet Socket Remote Control with Timer Function, Only Supports 2.4GHz Network, No Hub Required, ETL FCC Listed (4 Pack), White",WP3-4,misc,1,25.49,GHomeSmartUSA,,0,7
B0CF5KH6ZM,"KOOTION 256GB Micro SD Card UHS-I U3 V30 4K for Camera/Action Camera/Drone/Smartphone, Class 10 MicroSDXC Memory Card with Adapter",TF-256G,cameras,5,22.32,KOOTION,,0,7
